epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.957,3.88657,6.23636,4.2897,4.17108,0.00165,0.10294,0.00123,0.00037,0,0,0,0,3.67752,5.09675,4.12017,4.07265,0.000654971,0.000654971,0.000654971
2,877.336,3.688,4.21586,3.93593,3.77333,0.00164,0.07904,0.00095,0.00027,0.00244,0.11765,0.00149,0.00047,3.6217,6.04441,4.13169,4.45633,0.0012693,0.0012693,0.0012693
3,1262.3,3.33359,3.38042,3.27327,3.06959,0.22797,0.10478,0.06892,0.02014,0.2384,0.12026,0.0708,0.02449,3.21314,4.22692,3.41886,3.28856,0.00183083,0.00183083,0.00183083
4,1671.26,3.05238,2.89018,2.89283,2.65859,0.30497,0.16696,0.10739,0.03608,0.28824,0.1875,0.10929,0.04307,2.99707,3.36366,3.02114,3.07209,0.0017624,0.0017624,0.0017624
5,2060.69,2.93178,2.70222,2.67276,2.50265,0.32013,0.11397,0.08939,0.03124,0.27152,0.16176,0.1177,0.04538,3.03707,2.65366,3.01487,3.05103,0.0016832,0.0016832,0.0016832
6,2447.77,2.82701,2.53351,2.52461,2.40607,0.36669,0.18566,0.16727,0.06424,0.31442,0.20404,0.15363,0.04478,2.67329,2.26727,2.62011,2.47078,0.001604,0.001604,0.001604
7,2815.61,2.73331,2.45142,2.45424,2.35157,0.33565,0.2114,0.20182,0.07626,0.31557,0.20037,0.1644,0.04699,2.60828,2.16903,2.53993,2.41334,0.0015248,0.0015248,0.0015248
8,3208.73,2.62272,2.3484,2.30263,2.24823,0.47115,0.21691,0.23534,0.10132,0.45245,0.22243,0.22664,0.07902,2.47307,2.05278,2.35317,2.33042,0.0014456,0.0014456,0.0014456
9,3606.48,2.51547,2.28748,2.24409,2.18957,0.35608,0.22059,0.21943,0.08724,0.41017,0.21875,0.23663,0.08391,2.45846,2.19612,2.3771,2.29226,0.0013664,0.0013664,0.0013664
10,3989.93,2.46801,2.25186,2.14327,2.13803,0.40223,0.27574,0.27413,0.11677,0.41029,0.26287,0.25116,0.09184,2.40081,2.03689,2.15842,2.25508,0.0012872,0.0012872,0.0012872
11,4367.91,2.40805,2.26164,2.09948,2.10697,0.39345,0.29691,0.28296,0.11885,0.44084,0.24265,0.26924,0.09982,2.36504,1.9571,2.25051,2.22814,0.001208,0.001208,0.001208
12,4755.29,2.397,2.22761,2.06113,2.08116,0.37476,0.28676,0.25907,0.11098,0.39916,0.28125,0.25101,0.09511,2.30123,2.00278,2.16318,2.20038,0.0011288,0.0011288,0.0011288
13,5146.87,2.31616,2.2299,1.96514,2.03261,0.31049,0.32353,0.24279,0.0985,0.2969,0.30506,0.21705,0.06739,2.31974,1.9827,2.19947,2.19025,0.0010496,0.0010496,0.0010496
14,5542.67,2.23626,2.18983,1.92915,2.03234,0.44001,0.29596,0.31464,0.13818,0.38118,0.30147,0.29294,0.10052,2.25284,1.92178,1.97594,2.15121,0.0009704,0.0009704,0.0009704
15,5939.58,2.2028,2.21664,1.88686,2.01206,0.45933,0.33824,0.32518,0.14121,0.4113,0.30053,0.26638,0.08376,2.18044,1.93143,2.09057,2.1274,0.0008912,0.0008912,0.0008912
16,6322.22,2.24576,2.16204,1.96622,2.04254,0.49327,0.25184,0.2723,0.12049,0.34467,0.23783,0.22198,0.08139,2.34307,2.15405,2.38001,2.272,0.000812,0.000812,0.000812
17,6689.6,2.17871,2.14172,1.87721,1.97604,0.49864,0.39706,0.39594,0.17351,0.4594,0.36581,0.34136,0.11323,2.00139,1.87998,1.97246,2.04384,0.0007328,0.0007328,0.0007328
18,7066.06,2.13201,2.10933,1.83576,1.94419,0.45037,0.40074,0.39251,0.17543,0.43368,0.35478,0.3331,0.11245,2.03617,1.85804,1.82014,2.04671,0.0006536,0.0006536,0.0006536
19,7442.06,2.14086,2.14435,1.84369,1.9511,0.49356,0.38235,0.39359,0.17948,0.47751,0.34926,0.35719,0.11925,2.04283,1.84525,1.81264,2.04752,0.0005744,0.0005744,0.0005744
20,7817.1,2.06332,2.09092,1.75872,1.91147,0.52715,0.40809,0.41553,0.19841,0.43809,0.38051,0.35611,0.11719,1.93334,1.8556,1.76904,2.01013,0.0004952,0.0004952,0.0004952
21,8189.85,2.0324,2.10049,1.74745,1.88824,0.54792,0.42554,0.43807,0.19959,0.43211,0.34559,0.3114,0.09372,2.01696,1.89534,1.74573,2.03079,0.000416,0.000416,0.000416
22,8561.43,2.01701,2.09026,1.6998,1.84896,0.53657,0.45037,0.45991,0.2151,0.52939,0.39154,0.39803,0.13978,1.92059,1.78093,1.65339,1.97822,0.0003368,0.0003368,0.0003368
23,8932.97,1.97473,2.05618,1.70634,1.84244,0.52561,0.41912,0.43401,0.20449,0.49318,0.36765,0.37063,0.12337,1.92709,1.78898,1.66102,1.96085,0.0002576,0.0002576,0.0002576
24,9304.28,1.96228,2.03383,1.65177,1.83097,0.54208,0.45262,0.46145,0.22384,0.49461,0.41912,0.4036,0.14425,1.83653,1.78427,1.65068,1.91328,0.0001784,0.0001784,0.0001784
25,9676.33,1.92648,2.00362,1.61408,1.80548,0.58299,0.45487,0.48712,0.24681,0.54058,0.42179,0.42531,0.14525,1.81682,1.77976,1.56799,1.90203,9.92e-05,9.92e-05,9.92e-05
