epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4649,3.88165,5.94975,4.00212,4.03212,0.00103,0.04867,0.0006,0.00019,0.00033,0.0157,0.00017,3e-05,4.12271,4.92419,4.07185,4.24572,0.00066,0.00066,0.00066
2,110.01,3.04792,2.95382,2.86769,2.74731,0.41272,0.27159,0.24065,0.07793,0.38669,0.27566,0.23637,0.08513,2.82032,4.2676,2.64678,2.52582,0.00127413,0.00127413,0.00127413
3,157.877,2.68261,2.56885,2.36036,2.2248,0.50714,0.33673,0.33754,0.11778,0.44859,0.30396,0.28349,0.09354,2.54156,2.25779,2.20495,2.09594,0.00183546,0.00183546,0.00183546
4,208.376,2.48304,2.40294,2.12219,2.02608,0.49995,0.36028,0.37338,0.14754,0.4592,0.34858,0.34293,0.11227,2.36886,2.10556,2.18864,1.93744,0.0017624,0.0017624,0.0017624
5,257.135,2.33423,2.29646,1.99134,1.94048,0.53573,0.36593,0.39951,0.16039,0.52178,0.35086,0.37864,0.14008,2.25468,2.04977,1.95832,1.87774,0.0016832,0.0016832,0.0016832
6,302.555,2.24627,2.21847,1.89279,1.87519,0.57237,0.40448,0.46639,0.19485,0.5578,0.37922,0.42533,0.16167,2.12845,2.03359,1.87433,1.759,0.001604,0.001604,0.001604
7,347.675,2.13369,2.1901,1.77271,1.77008,0.66631,0.40267,0.48561,0.18615,0.59515,0.35165,0.4005,0.12708,2.17407,2.06124,1.80757,1.76743,0.0015248,0.0015248,0.0015248
8,392.903,2.09034,2.18052,1.72344,1.73603,0.58173,0.38776,0.44462,0.18389,0.62013,0.33909,0.39838,0.13934,2.09564,1.97884,1.81108,1.74017,0.0014456,0.0014456,0.0014456
9,438.395,2.0192,2.1599,1.65778,1.69547,0.6312,0.4584,0.54591,0.23771,0.62445,0.43407,0.50506,0.19879,2.01436,1.89141,1.61444,1.67414,0.0013664,0.0013664,0.0013664
10,483.755,1.95419,2.11175,1.57609,1.64946,0.56433,0.50863,0.50611,0.22176,0.55969,0.46468,0.4565,0.15972,1.88604,1.93048,1.69091,1.59253,0.0012872,0.0012872,0.0012872
11,529.091,1.90534,2.08057,1.5144,1.58786,0.60869,0.54553,0.59108,0.26966,0.62869,0.48744,0.54988,0.20498,1.8561,1.8476,1.49688,1.56065,0.001208,0.001208,0.001208
12,574.408,1.84098,2.06073,1.48861,1.5579,0.5837,0.55181,0.5711,0.27172,0.52724,0.49843,0.50036,0.18657,1.78424,1.8878,1.51185,1.51764,0.0011288,0.0011288,0.0011288
13,619.315,1.81615,2.03692,1.44792,1.5402,0.59827,0.54788,0.59339,0.27884,0.58142,0.50589,0.5429,0.19943,1.78446,1.83907,1.51229,1.48738,0.0010496,0.0010496,0.0010496
14,664.816,1.78405,2.01996,1.42127,1.52334,0.62764,0.53689,0.58667,0.28405,0.60642,0.49686,0.52949,0.19665,1.74269,1.87996,1.45206,1.49106,0.0009704,0.0009704,0.0009704
15,709.951,1.73271,2.01598,1.38761,1.49611,0.61518,0.60597,0.62577,0.29564,0.60709,0.53375,0.5608,0.20087,1.74666,1.82404,1.41273,1.48064,0.0008912,0.0008912,0.0008912
16,781.601,1.73696,1.91928,1.4154,1.47447,0.61663,0.56358,0.57997,0.28642,0.595,0.51085,0.52399,0.19901,1.7164,1.91903,1.47646,1.47287,0.000812,0.000812,0.000812
17,825.732,1.71969,1.90554,1.35325,1.45041,0.64752,0.62088,0.63179,0.3109,0.59565,0.56593,0.55312,0.1962,1.69841,1.83013,1.34489,1.4232,0.0007328,0.0007328,0.0007328
18,870.318,1.67877,1.89017,1.3313,1.42886,0.65289,0.61224,0.65123,0.32304,0.63483,0.56357,0.59698,0.22421,1.64639,1.78908,1.33567,1.39613,0.0006536,0.0006536,0.0006536
19,914.92,1.64727,1.87765,1.30531,1.40449,0.6423,0.63344,0.66053,0.33921,0.63762,0.58974,0.61143,0.23529,1.6135,1.73251,1.29287,1.37807,0.0005744,0.0005744,0.0005744
20,958.686,1.63323,1.86114,1.28846,1.40313,0.69986,0.63893,0.683,0.36626,0.67822,0.60551,0.6523,0.25605,1.53887,1.73513,1.26324,1.34316,0.0004952,0.0004952,0.0004952
21,1002.17,1.57475,1.8298,1.23433,1.36339,0.68906,0.66969,0.71693,0.37133,0.63964,0.62166,0.64184,0.24086,1.56898,1.71723,1.21909,1.32901,0.000416,0.000416,0.000416
22,1045.98,1.56323,1.83792,1.22019,1.35507,0.65775,0.65771,0.6846,0.36902,0.6371,0.60126,0.62591,0.21905,1.53204,1.69902,1.21616,1.32621,0.0003368,0.0003368,0.0003368
23,1089.82,1.53426,1.82398,1.17793,1.33217,0.69207,0.69152,0.71917,0.38638,0.67963,0.60911,0.64864,0.24168,1.51675,1.70985,1.17148,1.31245,0.0002576,0.0002576,0.0002576
24,1134.59,1.52488,1.81534,1.18073,1.32931,0.69116,0.70264,0.74012,0.40559,0.68986,0.62088,0.6763,0.25599,1.45699,1.67942,1.13326,1.28061,0.0001784,0.0001784,0.0001784
25,1179.31,1.50485,1.80376,1.16718,1.32257,0.72495,0.70173,0.75924,0.42,0.70394,0.64443,0.69725,0.2668,1.44386,1.67268,1.11243,1.26799,9.92e-05,9.92e-05,9.92e-05
