epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,2876.78,1.07745,1.49771,0.70491,1.04751,0.87237,0.86914,0.92404,0.61928,0.85896,0.80313,0.86903,0.37439,1.00978,1.34149,0.67593,0.97105,0.0005744,0.0005744,0.0005744
38,2952.33,1.058,1.49589,0.69128,1.04772,0.86576,0.86342,0.92134,0.61826,0.84179,0.80534,0.86534,0.36866,0.99079,1.31933,0.64656,0.96024,0.0005348,0.0005348,0.0005348
39,3033.84,1.05907,1.50081,0.70678,1.04795,0.88713,0.86656,0.9303,0.64996,0.8676,0.82418,0.88602,0.40066,0.93396,1.28062,0.627,0.94712,0.0004952,0.0004952,0.0004952
40,3114.94,1.06799,1.49786,0.69923,1.04717,0.88651,0.86578,0.9353,0.65615,0.86586,0.83092,0.89568,0.40266,0.917,1.29538,0.62709,0.94845,0.0004556,0.0004556,0.0004556
41,3277.76,0.9924,1.37629,0.65811,0.99978,0.90894,0.86971,0.93667,0.65542,0.86788,0.82498,0.88194,0.39988,0.93674,1.3208,0.61451,0.94704,0.000416,0.000416,0.000416
42,3413.59,0.97247,1.34337,0.6364,1.00209,0.90875,0.87206,0.93642,0.64732,0.86596,0.81646,0.88186,0.38583,0.95651,1.31416,0.62539,0.94417,0.0003764,0.0003764,0.0003764
43,3550.88,0.96096,1.33434,0.62052,0.99689,0.90031,0.88226,0.94152,0.65741,0.88434,0.81397,0.88859,0.39594,0.9468,1.32505,0.60717,0.93994,0.0003368,0.0003368,0.0003368
44,3642.65,0.94193,1.31364,0.615,0.99576,0.91642,0.86656,0.94458,0.67794,0.89141,0.8179,0.89208,0.40411,0.88146,1.28372,0.59107,0.92325,0.0002972,0.0002972,0.0002972
45,3726.04,0.92943,1.31468,0.60192,0.9803,0.92745,0.89089,0.95086,0.68661,0.89005,0.84929,0.9004,0.41296,0.86428,1.25283,0.57259,0.9179,0.0002576,0.0002576,0.0002576
46,3921.76,0.90795,1.29026,0.58932,0.97532,0.91953,0.89692,0.94706,0.67756,0.88169,0.83653,0.89381,0.39629,0.88698,1.25715,0.57444,0.91602,0.000218,0.000218,0.000218
47,4096.12,0.90682,1.2791,0.58685,0.97212,0.92855,0.87731,0.94731,0.66848,0.91503,0.8281,0.90047,0.40719,0.89149,1.25784,0.56919,0.91587,0.0001784,0.0001784,0.0001784
48,4305.97,0.90572,1.27946,0.58816,0.97122,0.93309,0.9011,0.95146,0.69043,0.90453,0.84772,0.90758,0.42699,0.85341,1.22697,0.56297,0.90874,0.0001388,0.0001388,0.0001388
49,4428.83,0.90186,1.28295,0.58343,0.97337,0.93106,0.89042,0.94991,0.6887,0.90993,0.83673,0.90324,0.41493,0.85654,1.23305,0.55742,0.91033,9.92e-05,9.92e-05,9.92e-05
50,4552.78,0.88099,1.25082,0.56345,0.95775,0.92498,0.9011,0.9505,0.68737,0.9043,0.83752,0.8981,0.41422,0.86489,1.24022,0.55905,0.90998,5.96e-05,5.96e-05,5.96e-05
