epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.287,1.16668,1.62003,0.79337,1.11612,0.79484,0.80588,0.86011,0.54779,0.76674,0.74333,0.79256,0.31705,1.17436,1.50732,0.81157,1.06476,0.000653595,0.000653595,0.000653595
2,182.323,1.25502,1.68419,0.85208,1.15365,0.78538,0.81711,0.84479,0.52152,0.75339,0.7394,0.76255,0.28449,1.2417,1.53307,0.83052,1.10128,0.00129412,0.00129412,0.00129412
3,262.049,1.24138,1.68252,0.85581,1.14736,0.70934,0.74097,0.7776,0.45231,0.65848,0.64992,0.66597,0.25174,1.33445,1.57246,0.92969,1.15334,0.00190825,0.00190825,0.00190825
4,340.89,1.28885,1.69824,0.88781,1.16257,0.77592,0.74199,0.82296,0.49423,0.72338,0.69175,0.73819,0.28314,1.25171,1.62877,0.91275,1.13886,0.0018812,0.0018812,0.0018812
5,422.74,1.31382,1.74397,0.89961,1.17218,0.69502,0.62794,0.69669,0.38733,0.64698,0.58261,0.61402,0.21899,1.41699,1.69068,1.15962,1.19551,0.0018416,0.0018416,0.0018416
6,504.081,1.29947,1.69307,0.8964,1.1742,0.79677,0.74779,0.83084,0.49906,0.77737,0.67504,0.74087,0.28046,1.32561,1.57465,0.87881,1.13085,0.001802,0.001802,0.001802
7,583.248,1.31883,1.71462,0.89845,1.17437,0.78828,0.76277,0.83018,0.48839,0.76211,0.7033,0.73751,0.26126,1.30643,1.58459,0.88799,1.11577,0.0017624,0.0017624,0.0017624
8,662.078,1.28784,1.70932,0.88756,1.15694,0.74895,0.74931,0.79793,0.47926,0.72425,0.70565,0.74234,0.28043,1.27516,1.61573,0.93895,1.11408,0.0017228,0.0017228,0.0017228
9,741.429,1.25417,1.68682,0.86257,1.14844,0.81477,0.75667,0.83623,0.51872,0.78254,0.68074,0.76176,0.28933,1.22056,1.53177,0.82666,1.08219,0.0016832,0.0016832,0.0016832
10,820.202,1.26622,1.6708,0.87009,1.14635,0.76534,0.68097,0.75311,0.42139,0.70912,0.60754,0.64713,0.23776,1.4548,1.65153,1.04073,1.19555,0.0016436,0.0016436,0.0016436
11,899.117,1.27058,1.69071,0.86654,1.14218,0.79556,0.74725,0.82444,0.5168,0.76447,0.71336,0.77211,0.30795,1.21267,1.50768,0.83801,1.06904,0.001604,0.001604,0.001604
12,978.193,1.26459,1.66049,0.86343,1.14368,0.82924,0.77943,0.85299,0.52001,0.79739,0.71978,0.78259,0.31153,1.24144,1.54767,0.83359,1.08934,0.0015644,0.0015644,0.0015644
13,1057.3,1.26705,1.66676,0.85205,1.14671,0.83783,0.75831,0.85577,0.53158,0.82464,0.73391,0.81773,0.33335,1.22771,1.46166,0.8122,1.07703,0.0015248,0.0015248,0.0015248
14,1136.31,1.2382,1.66549,0.84434,1.1317,0.83093,0.78697,0.87585,0.55538,0.83573,0.72763,0.82321,0.33985,1.17859,1.49005,0.78164,1.06481,0.0014852,0.0014852,0.0014852
15,1215.36,1.23889,1.65048,0.83242,1.12357,0.79541,0.76374,0.84145,0.52842,0.79847,0.6978,0.78986,0.33306,1.24353,1.50352,0.84938,1.08096,0.0014456,0.0014456,0.0014456
16,1293.57,1.2257,1.63193,0.81979,1.12602,0.81387,0.78596,0.86476,0.55247,0.77828,0.73469,0.79529,0.33899,1.21017,1.45818,0.78576,1.08532,0.001406,0.001406,0.001406
17,1368.7,1.20773,1.63743,0.81849,1.11477,0.80624,0.81325,0.86571,0.54399,0.77203,0.75759,0.80362,0.32888,1.17175,1.45949,0.80531,1.04191,0.0013664,0.0013664,0.0013664
18,1443.63,1.21938,1.63881,0.82893,1.11851,0.85027,0.78728,0.88409,0.56558,0.84044,0.7449,0.83144,0.35099,1.12962,1.43957,0.76947,1.02499,0.0013268,0.0013268,0.0013268
19,1518.83,1.21656,1.62373,0.82449,1.12157,0.77231,0.71272,0.79148,0.49775,0.74792,0.65463,0.72543,0.29534,1.20082,1.53475,0.91351,1.07595,0.0012872,0.0012872,0.0012872
20,1593.78,1.19285,1.6093,0.79541,1.11166,0.81423,0.81194,0.87507,0.55536,0.79535,0.72763,0.80743,0.3374,1.14811,1.44939,0.78975,1.03766,0.0012476,0.0012476,0.0012476
21,1668.97,1.19661,1.61224,0.80357,1.1006,0.77636,0.77473,0.8238,0.49272,0.74581,0.7033,0.73165,0.29365,1.24916,1.51796,0.88142,1.09706,0.001208,0.001208,0.001208
22,1743.93,1.17154,1.60071,0.78649,1.0965,0.79353,0.82732,0.87257,0.53852,0.79584,0.70801,0.78458,0.32435,1.16623,1.43531,0.84834,1.05167,0.0011684,0.0011684,0.0011684
23,1819.12,1.17194,1.59499,0.78465,1.09498,0.79939,0.79984,0.85887,0.56473,0.77415,0.74795,0.79997,0.34025,1.0727,1.40882,0.77124,1.02522,0.0011288,0.0011288,0.0011288
24,1894.34,1.18347,1.59779,0.79571,1.09582,0.83488,0.80169,0.87039,0.53513,0.82843,0.75667,0.82758,0.34589,1.20323,1.45322,0.82564,1.0518,0.0010892,0.0010892,0.0010892
25,1969.43,1.15991,1.58281,0.77432,1.08908,0.84501,0.82163,0.89554,0.57235,0.80602,0.75015,0.80857,0.32319,1.11621,1.45415,0.73589,1.01971,0.0010496,0.0010496,0.0010496
26,2044.41,1.14998,1.57801,0.76343,1.08753,0.84537,0.78964,0.87975,0.57734,0.82389,0.74254,0.82609,0.35446,1.09793,1.41046,0.74352,1.01335,0.00101,0.00101,0.00101
27,2119.22,1.14955,1.56758,0.76414,1.09,0.82815,0.82459,0.89374,0.59239,0.83445,0.74882,0.83995,0.35843,1.05962,1.39398,0.71327,0.99622,0.0009704,0.0009704,0.0009704
28,2194.42,1.13046,1.54686,0.74233,1.08027,0.80941,0.74671,0.832,0.5391,0.77722,0.712,0.78038,0.33735,1.11132,1.45486,0.84331,1.03121,0.0009308,0.0009308,0.0009308
29,2269.39,1.12791,1.57295,0.75193,1.07986,0.85208,0.83359,0.90478,0.59968,0.8389,0.79295,0.86378,0.38265,1.02653,1.36362,0.69462,0.981,0.0008912,0.0008912,0.0008912
30,2344.4,1.11327,1.54372,0.74292,1.07578,0.85612,0.84694,0.91361,0.61942,0.83045,0.79513,0.86039,0.37906,1.02249,1.39085,0.67669,0.97773,0.0008516,0.0008516,0.0008516
31,2419.51,1.10504,1.54797,0.73875,1.06371,0.84156,0.84634,0.9066,0.59208,0.81278,0.78885,0.84387,0.35482,1.03528,1.38018,0.73183,0.97968,0.000812,0.000812,0.000812
32,2494.7,1.12854,1.5523,0.74032,1.0762,0.86286,0.83595,0.90857,0.6083,0.84181,0.78113,0.84101,0.35475,1.01432,1.38492,0.68781,0.98139,0.0007724,0.0007724,0.0007724
33,2569.9,1.1046,1.51913,0.72874,1.06463,0.85745,0.83571,0.91284,0.59532,0.86062,0.75589,0.84918,0.34923,1.06326,1.36688,0.69978,0.98475,0.0007328,0.0007328,0.0007328
34,2644.99,1.10803,1.54828,0.73554,1.06129,0.87023,0.8595,0.91569,0.61863,0.8602,0.79207,0.86917,0.37933,1.00434,1.34292,0.67597,0.97085,0.0006932,0.0006932,0.0006932
35,2720.03,1.09311,1.52461,0.72143,1.06169,0.90071,0.85479,0.92733,0.63317,0.86421,0.80926,0.8701,0.38792,0.97807,1.32054,0.64592,0.96146,0.0006536,0.0006536,0.0006536
36,2795,1.06814,1.50523,0.70131,1.0503,0.86869,0.84929,0.91995,0.63674,0.85693,0.78985,0.87018,0.38642,0.97521,1.33001,0.64784,0.95506,0.000614,0.000614,0.000614
