epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1467.33,1.53906,1.91342,1.15729,1.36071,0.69457,0.66013,0.70704,0.36655,0.67627,0.60177,0.63867,0.23508,1.56305,1.69323,1.1743,1.30963,0.0014258,0.0014258,0.0014258
31,1512.48,1.51377,1.90552,1.1326,1.34643,0.68334,0.66641,0.71948,0.38601,0.66661,0.62794,0.6601,0.24421,1.51518,1.74317,1.14834,1.28137,0.001406,0.001406,0.001406
32,1557.17,1.51385,1.89267,1.1399,1.34608,0.69993,0.66954,0.72323,0.39455,0.66814,0.63055,0.66432,0.24598,1.47934,1.69625,1.15201,1.28531,0.0013862,0.0013862,0.0013862
33,1602.15,1.51897,1.89647,1.13908,1.33516,0.72863,0.67661,0.75095,0.40669,0.73723,0.62762,0.69277,0.25742,1.47978,1.73286,1.13021,1.28259,0.0013664,0.0013664,0.0013664
34,1647.17,1.5195,1.89086,1.14096,1.34171,0.6822,0.70487,0.75783,0.41048,0.71057,0.62088,0.6995,0.28483,1.45115,1.70214,1.10463,1.25465,0.0013466,0.0013466,0.0013466
35,1692.11,1.48599,1.86095,1.12358,1.32732,0.68387,0.60204,0.65378,0.35855,0.65212,0.55887,0.58912,0.21802,1.5215,1.99338,1.2369,1.31469,0.0013268,0.0013268,0.0013268
36,1737.06,1.48297,1.88007,1.09542,1.31442,0.69658,0.67577,0.73105,0.39581,0.65816,0.63501,0.65617,0.23717,1.4628,1.70162,1.10855,1.25806,0.001307,0.001307,0.001307
37,1781.96,1.45046,1.84948,1.06157,1.30862,0.71011,0.64411,0.72011,0.39598,0.69447,0.57806,0.64642,0.23766,1.47784,1.72098,1.12052,1.27038,0.0012872,0.0012872,0.0012872
38,1827.38,1.44758,1.85555,1.06494,1.29234,0.75299,0.65934,0.7472,0.41426,0.7202,0.61218,0.67959,0.25814,1.45419,1.68526,1.09202,1.24452,0.0012674,0.0012674,0.0012674
39,1872.32,1.4586,1.85939,1.07294,1.30636,0.69347,0.70497,0.73351,0.41964,0.69028,0.63501,0.66586,0.24778,1.39315,1.71322,1.089,1.22413,0.0012476,0.0012476,0.0012476
40,1917.04,1.45132,1.85191,1.06034,1.2968,0.73335,0.71115,0.75865,0.40362,0.71242,0.62951,0.67318,0.24648,1.45301,1.70099,1.10836,1.23847,0.0012278,0.0012278,0.0012278
41,1961.7,1.44235,1.86399,1.05601,1.2845,0.74004,0.70565,0.77111,0.43431,0.71154,0.64286,0.69653,0.25703,1.40144,1.6881,1.05203,1.22293,0.001208,0.001208,0.001208
42,2006.63,1.41471,1.82983,1.02671,1.27359,0.76956,0.71561,0.78833,0.44672,0.72916,0.66565,0.69858,0.26879,1.38911,1.6841,1.0509,1.20496,0.0011882,0.0011882,0.0011882
43,2051.76,1.43038,1.84348,1.03554,1.27324,0.73809,0.71447,0.7715,0.44038,0.70198,0.66376,0.70443,0.25686,1.36777,1.6687,1.04937,1.20774,0.0011684,0.0011684,0.0011684
44,2096.94,1.40547,1.81764,1.02497,1.26236,0.68473,0.68838,0.74119,0.43912,0.6744,0.64443,0.69357,0.26697,1.35065,1.65672,1.02371,1.21293,0.0011486,0.0011486,0.0011486
45,2142.11,1.39751,1.80186,1.01504,1.25649,0.71703,0.7033,0.76505,0.43748,0.69635,0.6516,0.70462,0.26754,1.40486,1.65841,1.02227,1.21761,0.0011288,0.0011288,0.0011288
46,2187.18,1.41342,1.82316,1.02575,1.27248,0.76648,0.68053,0.76868,0.44031,0.72816,0.64548,0.70514,0.26554,1.37523,1.64261,1.00933,1.1894,0.001109,0.001109,0.001109
47,2232.23,1.38019,1.78838,0.99767,1.24225,0.75032,0.719,0.78866,0.45271,0.71605,0.67582,0.71686,0.27746,1.33464,1.65258,1.00292,1.17479,0.0010892,0.0010892,0.0010892
48,2277.25,1.38213,1.81322,1.00619,1.24842,0.73193,0.69866,0.7745,0.44273,0.69828,0.66091,0.70786,0.27652,1.38025,1.649,1.00812,1.19358,0.0010694,0.0010694,0.0010694
49,2322.19,1.37232,1.7972,0.99384,1.23787,0.72794,0.69727,0.75722,0.44091,0.71065,0.63618,0.68651,0.256,1.3764,1.65394,0.99636,1.19764,0.0010496,0.0010496,0.0010496
50,2367.97,1.35744,1.7868,0.9672,1.2318,0.77313,0.74019,0.81463,0.46965,0.7458,0.68132,0.74496,0.286,1.30845,1.62214,0.96459,1.15333,0.0010298,0.0010298,0.0010298
51,2413.29,1.37065,1.79767,0.97476,1.23023,0.77676,0.73194,0.80581,0.47492,0.74193,0.68289,0.74769,0.27993,1.29127,1.59638,0.95631,1.14926,0.00101,0.00101,0.00101
52,2458.79,1.35345,1.77809,0.96471,1.21763,0.72862,0.73548,0.78339,0.46028,0.72065,0.68132,0.73439,0.29385,1.30599,1.64223,0.95863,1.16342,0.0009902,0.0009902,0.0009902
53,2504.17,1.3649,1.76627,0.96583,1.23285,0.77672,0.74568,0.81555,0.47388,0.76317,0.68367,0.74876,0.2945,1.3074,1.61663,0.93794,1.14211,0.0009704,0.0009704,0.0009704
54,2549.6,1.34175,1.76386,0.94976,1.21276,0.77049,0.71938,0.7992,0.48354,0.76815,0.64756,0.72887,0.28571,1.29151,1.61023,0.94477,1.14049,0.0009506,0.0009506,0.0009506
55,2595.5,1.3278,1.76235,0.94033,1.20688,0.77345,0.74766,0.81062,0.49051,0.72514,0.69309,0.74019,0.28882,1.25885,1.57886,0.92845,1.12053,0.0009308,0.0009308,0.0009308
56,2640.87,1.32812,1.76783,0.93628,1.20709,0.77049,0.7449,0.81988,0.50736,0.73651,0.69702,0.7521,0.30176,1.23498,1.59106,0.90684,1.11624,0.000911,0.000911,0.000911
57,2686.07,1.32384,1.74679,0.938,1.2042,0.77226,0.75593,0.8173,0.49386,0.72662,0.68603,0.73565,0.28755,1.27083,1.5818,0.91044,1.12596,0.0008912,0.0008912,0.0008912
58,2731.36,1.31117,1.74655,0.93555,1.19869,0.74077,0.7626,0.80366,0.48241,0.71561,0.6978,0.74194,0.28522,1.25243,1.56794,0.91989,1.12598,0.0008714,0.0008714,0.0008714
